"Id","phylum"
"[Clostridium] innocuum group","Firmicutes"
"[Eubacterium] eligens group","Firmicutes"
"[Eubacterium] ruminantium group","Firmicutes"
"[Eubacterium] siraeum group","Firmicutes"
"[Eubacterium] ventriosum group","Firmicutes"
"[Ruminococcus] torques group","Firmicutes"
"Achromobacter","Proteobacteria"
"Acidibacter","Proteobacteria"
"Acinetobacter","Proteobacteria"
"Actinophytocola","Actinobacteriota"
"Actinoplanes","Actinobacteriota"
"Agathobacter","Firmicutes"
"Akkermansia","Verrucomicrobiota"
"Alcaligenes","Proteobacteria"
"Aliivibrio","Proteobacteria"
"Alistipes","Bacteroidota"
"Alloprevotella","Bacteroidota"
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Proteobacteria"
"Altererythrobacter","Proteobacteria"
"Amycolatopsis","Actinobacteriota"
"Anaerostipes","Firmicutes"
"Anaerovorax","Firmicutes"
"Aquamicrobium","Proteobacteria"
"Aquimixticola","Proteobacteria"
"Arsenicitalea","Proteobacteria"
"Bacillus","Firmicutes"
"Bacteroides","Bacteroidota"
"Barnesiella","Bacteroidota"
"Bifidobacterium","Actinobacteriota"
"Bilophila","Desulfobacterota"
"Blastococcus","Actinobacteriota"
"Blautia","Firmicutes"
"Boseongicola","Proteobacteria"
"Bradyrhizobium","Proteobacteria"
"Brevundimonas","Proteobacteria"
"Bryobacter","Acidobacteriota"
"Burkholderia-Caballeronia-Paraburkholderia","Proteobacteria"
"Butyricicoccus","Firmicutes"
"Butyricimonas","Bacteroidota"
"CAG-56","Firmicutes"
"Candidatus Vestibaculum","Bacteroidota"
"CHKCI001","Firmicutes"
"Christensenellaceae R-7 group","Firmicutes"
"Chryseobacterium","Bacteroidota"
"Chthoniobacter","Verrucomicrobiota"
"Citrobacter","Proteobacteria"
"Clostridioides","Firmicutes"
"Clostridium sensu stricto 1","Firmicutes"
"Colidextribacter","Firmicutes"
"Collinsella","Actinobacteriota"
"Conexibacter","Actinobacteriota"
"Corynebacterium","Actinobacteriota"
"Crossiella","Actinobacteriota"
"Cupriavidus","Proteobacteria"
"Dactylosporangium","Actinobacteriota"
"Desulfovibrio","Desulfobacterota"
"Devosia","Proteobacteria"
"Dialister","Firmicutes"
"Dongia","Proteobacteria"
"Dorea","Firmicutes"
"Dubosiella","Firmicutes"
"Ellin6055","Proteobacteria"
"Ellin6067","Proteobacteria"
"Enhydrobacter","Proteobacteria"
"Enterobacter","Proteobacteria"
"Enterococcus","Firmicutes"
"Enterorhabdus","Actinobacteriota"
"Erysipelatoclostridium","Firmicutes"
"Escherichia-Shigella","Proteobacteria"
"Faecalibacterium","Firmicutes"
"Faecalibaculum","Firmicutes"
"Family XIII AD3011 group","Firmicutes"
"Flavonifractor","Firmicutes"
"Fournierella","Firmicutes"
"Gaiella","Actinobacteriota"
"Glycomyces","Actinobacteriota"
"Haemophilus","Proteobacteria"
"Haliangium","Myxococcota"
"Halioglobus","Proteobacteria"
"Helicobacter","Campilobacterota"
"Hirschia","Proteobacteria"
"Hyphomicrobium","Proteobacteria"
"Iamia","Actinobacteriota"
"Incertae Sedis","Firmicutes"
"Inquilinus","Proteobacteria"
"Intestinimonas","Firmicutes"
"JGI 0001001-H03","Acidobacteriota"
"Klebsiella","Proteobacteria"
"Kribbella","Actinobacteriota"
"Lachnoclostridium","Firmicutes"
"Lachnospira","Firmicutes"
"Lachnospiraceae AC2044 group","Firmicutes"
"Lachnospiraceae NK4A136 group","Firmicutes"
"Lachnospiraceae UCG-003","Firmicutes"
"Lachnospiraceae UCG-004","Firmicutes"
"Lachnospiraceae UCG-006","Firmicutes"
"Lachnospiraceae UCG-010","Firmicutes"
"Lactobacillus","Firmicutes"
"Limibaculum","Proteobacteria"
"Luteimonas","Proteobacteria"
"Lysinibacillus","Firmicutes"
"Lysobacter","Proteobacteria"
"Marinicaulis","Proteobacteria"
"Massilia","Proteobacteria"
"Megamonas","Firmicutes"
"Megasphaera","Firmicutes"
"Mesorhizobium","Proteobacteria"
"Microvirga","Proteobacteria"
"MM2","Proteobacteria"
"MND1","Proteobacteria"
"Monoglobus","Firmicutes"
"Muribaculum","Bacteroidota"
"Mycobacterium","Actinobacteriota"
"Negativibacillus","Firmicutes"
"Niastella","Bacteroidota"
"Nitrosospira","Proteobacteria"
"Nitrospira","Nitrospirota"
"NK4A214 group","Firmicutes"
"Nocardioides","Actinobacteriota"
"Nonomuraea","Actinobacteriota"
"Nordella","Proteobacteria"
"Novosphingobium","Proteobacteria"
"Odoribacter","Bacteroidota"
"Ohtaekwangia","Bacteroidota"
"Opitutus","Verrucomicrobiota"
"Oscillibacter","Firmicutes"
"Oxalobacter","Proteobacteria"
"Papillibacter","Firmicutes"
"Parabacteroides","Bacteroidota"
"Paracoccus","Proteobacteria"
"Paraprevotella","Bacteroidota"
"Parasutterella","Proteobacteria"
"Pedomicrobium","Proteobacteria"
"Pelomonas","Proteobacteria"
"Phascolarctobacterium","Firmicutes"
"Phaselicystis","Myxococcota"
"Phenylobacterium","Proteobacteria"
"Phytohabitans","Actinobacteriota"
"Piscinibacter","Proteobacteria"
"Polaromonas","Proteobacteria"
"Prevotella","Bacteroidota"
"Prevotellaceae UCG-001","Bacteroidota"
"Promicromonospora","Actinobacteriota"
"Providencia","Proteobacteria"
"Pseudahrensia","Proteobacteria"
"Pseudaminobacter","Proteobacteria"
"Pseudarthrobacter","Actinobacteriota"
"Pseudoalteromonas","Proteobacteria"
"Pseudomonas","Proteobacteria"
"Pseudonocardia","Actinobacteriota"
"Pseudorhodoplanes","Proteobacteria"
"Pseudoxanthomonas","Proteobacteria"
"Puia","Bacteroidota"
"RB41","Acidobacteriota"
"Reyranella","Proteobacteria"
"Rhizobacter","Proteobacteria"
"Rhodomicrobium","Proteobacteria"
"Rhodoplanes","Proteobacteria"
"Rikenella","Bacteroidota"
"Rikenellaceae RC9 gut group","Bacteroidota"
"Romboutsia","Firmicutes"
"Roseburia","Firmicutes"
"Roseimicrobium","Verrucomicrobiota"
"Roseobacter clade NAC11-7 lineage","Proteobacteria"
"Roseovarius","Proteobacteria"
"Rubrobacter","Actinobacteriota"
"Ruminococcus","Firmicutes"
"Shinella","Proteobacteria"
"Shuttleworthia","Firmicutes"
"Solirubrobacter","Actinobacteriota"
"Sphingomonas","Proteobacteria"
"Staphylococcus","Firmicutes"
"Starkeya","Proteobacteria"
"Stenotrophomonas","Proteobacteria"
"Steroidobacter","Proteobacteria"
"Streptococcus","Firmicutes"
"Streptomyces","Actinobacteriota"
"Subdoligranulum","Firmicutes"
"Subgroup 10","Acidobacteriota"
"Sutterella","Proteobacteria"
"Sva0081 sediment group","Desulfobacterota"
"Sva0996 marine group","Actinobacteriota"
"SWB02","Proteobacteria"
"Terrimonas","Bacteroidota"
"TM7a","Patescibacteria"
"Turicibacter","Firmicutes"
"UBA1819","Firmicutes"
"UC5-1-2E3","Firmicutes"
"UCG-002","Firmicutes"
"UCG-003","Firmicutes"
"UCG-005","Firmicutes"
"UCG-009","Firmicutes"
"Variovorax","Proteobacteria"
"Vicinamibacter","Acidobacteriota"
"Virgisporangium","Actinobacteriota"
"Woeseia","Proteobacteria"
"YC-ZSS-LKJ147","Gemmatimonadota"
